name,position,price,match,mål,assist,matchavgorande_mål,mål_i_numerart_underlage,+_-,spelad_match_och_istid,skott_på_mål,tekningar,blockerade_skott,utvisningar,tacklingar,raddningar,inslappta_mål,hållna_nollor,vinster,overtidsvinster,overtidsforluster,agandeskap,stat_24,stat_25
Tommi Tikka,C,5.8 mkr,57,1.4,1.5,0,18,0,0,-26,68,0,-5,4,-14,12,0,0,0,0,0,,
Elias Ekström,FW,6.1 mkr,55,6.4,2.6,4,12,0,0,8,31,0,0,0,-1,1,0,0,0,0,0,,
Joseph Berger,B,5.3 mkr,55,0,1.6,0,6,0,0,-12,52,0,0,6,-2,5,0,0,0,0,0,,
Lubos Horky,FW,7.8 mkr,54,4,6,16,6,0,0,14,18,2,0,0,-3,1,0,0,0,0,0,,
Adam Hofbauer,FW,5.2 mkr,54,1.2,1.4,8,6,0,0,-8,54,0,0,0,-12,6,0,0,0,0,0,,
Herman Träff,FW,5.2 mkr,52,0.8,2.2,12,12,0,0,-6,36,1,0,0,-7,4,0,0,0,0,0,,
Olle Eriksson Ek,MV,6.6 mkr,51,0.2,3.9,0,0,0,0,0,10,0,0,0,0,0,59,-44,4,6,3,,
Arvid Eljas,C,5.3 mkr,42,1,1.1,4,6,0,0,-10,46,0,-3,0,-2,1,0,0,0,0,0,,
Leo Sahlin Wallenius,B,5.3 mkr,41,3.8,3.7,4,12,0,0,0,22,1,0,1,0,1,0,0,0,0,0,,
Valter Lindberg,C,5.3 mkr,39,0,1.4,4,12,0,0,-10,39,0,-5,0,-1,0,0,0,0,0,0,,
Linus Lindblom,FW,5.4 mkr,39,0.2,1.7,4,3,0,0,2,30,0,0,2,-4,2,0,0,0,0,0,,
Hugo Pettersson,FW,5.1 mkr,37,1.8,1.6,16,0,2,0,-18,33,1,0,1,0,2,0,0,0,0,0,,
Jack Berglund,FW,5.4 mkr,36,0,2.6,4,6,0,0,0,20,0,3,0,0,3,0,0,0,0,0,,
Viggo Gustafsson,B,4.5 mkr,36,0,1.7,4,3,2,0,0,27,0,0,1,-1,0,0,0,0,0,0,,
Leo Sundqvist,B,4.9 mkr,35,0,2.3,4,3,0,0,6,22,0,0,1,-1,0,0,0,0,0,0,,
Albin Sundin,B,5.3 mkr,35,2,1.4,0,0,0,0,-12,45,1,0,2,-3,2,0,0,0,0,0,,
Niklas Nilsson,B,5.1 mkr,35,0,1.3,0,0,0,0,0,36,0,0,0,-1,0,0,0,0,0,0,,
Carl Klingberg,FW,6.4 mkr,34,0,2,8,0,0,0,0,26,0,0,0,-2,2,0,0,0,0,0,,
Liam Danielsson,FW,5.0 mkr,34,0.4,2.1,4,3,0,0,2,26,0,0,0,-1,0,0,0,0,0,0,,
Emil Alba,FW,5.5 mkr,31,0.4,1.4,4,0,0,0,-4,29,0,0,1,-3,4,0,0,0,0,0,,
